"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","15","test_api_speed[chromium]","tests_api","Sun May 03 15:29:45 UTC 2026","passed","Sun May 03 15:29:45 UTC 2026","","test_finance_api","",""
"Ellenőrizzük, hogy a conftest.py helyesen menti-e az API és UI adatokat.","0","test_framework_api_and_ui_logging[chromium]","","Sun May 17 16:57:22 UTC 2026","broken","Sun May 17 16:57:22 UTC 2026","","test_conftest_verification","",""
"Hibrid negatív teszt: API ellenőrzés után hibás jelszavas bejelentkezés validálása.","6005","test_hybrid_invalid_login_flow[chromium]","tests.UI","Sun May 17 20:23:40 UTC 2026","passed","Sun May 17 20:23:46 UTC 2026","","test_login","",""
"","414","test_hungarian_zip_code[chromium]","tests.API","Sun May 17 20:23:11 UTC 2026","passed","Sun May 17 20:23:11 UTC 2026","","test_finance_api","",""
"","3","test_file_to_db_integration","tests","Sun May 17 20:23:47 UTC 2026","passed","Sun May 17 20:23:47 UTC 2026","","test_integration","",""
"","127","test_create_post[chromium]","tests_api","Sun May 03 15:29:45 UTC 2026","passed","Sun May 03 15:29:45 UTC 2026","","test_user_api","",""
"","449","test_hungarian_zip_code[chromium]","tests_api","Sun May 03 15:29:45 UTC 2026","passed","Sun May 03 15:29:45 UTC 2026","","test_finance_api","",""
"","9537","test_successful_login[chromium]","tests.UI","Sat May 09 15:10:04 UTC 2026","passed","Sat May 09 15:10:13 UTC 2026","","test_login","",""
"","82","test_get_post_details[chromium]","tests_api","Sun May 03 15:29:45 UTC 2026","passed","Sun May 03 15:29:45 UTC 2026","","test_user_api","",""
"","7294","test_full_flow_json_to_db_to_ui[chromium]","tests","Sun May 03 15:29:34 UTC 2026","passed","Sun May 03 15:29:41 UTC 2026","","test_e2e_flow","",""
"Ellenőrizzük, hogy a conftest.py helyesen menti-e az API és UI adatokat.","2566","test_framework_api_and_ui_logging[chromium]","tests","Sun May 17 17:03:07 UTC 2026","passed","Sun May 17 17:03:10 UTC 2026","","test_conftest_verification","",""
"","211","test_create_post[chromium]","tests.API","Sun May 17 20:23:13 UTC 2026","passed","Sun May 17 20:23:13 UTC 2026","","test_user_api","",""
"Hibrid teszt optimalizált időtúllépéssel és tiszta URL assertion-nel.","21004","test_hybrid_login_flow[chromium]","tests.UI","Sun May 17 20:23:16 UTC 2026","passed","Sun May 17 20:23:37 UTC 2026","","test_login","",""
"","761","test_playwright_is_working[chromium]","tests.UI","Sun May 17 20:23:46 UTC 2026","passed","Sun May 17 20:23:47 UTC 2026","","test_ui_basic","",""
"","332","test_get_post_details[chromium]","tests.API","Sun May 17 20:23:12 UTC 2026","passed","Sun May 17 20:23:13 UTC 2026","","test_user_api","",""
"","1292","test_full_flow_json_to_db_to_ui[chromium]","tests.UI","Sun May 17 20:23:14 UTC 2026","passed","Sun May 17 20:23:15 UTC 2026","","test_e2e_flow","",""
"","944","test_playwright_is_working[chromium]","tests","Sun May 03 15:29:43 UTC 2026","passed","Sun May 03 15:29:44 UTC 2026","","test_ui_basic","",""
"","15","test_api_speed[chromium]","tests.API","Sun May 17 20:23:12 UTC 2026","passed","Sun May 17 20:23:12 UTC 2026","","test_finance_api","",""
"","1819","test_successful_login[chromium]","tests","Sun May 03 15:29:41 UTC 2026","failed","Sun May 03 15:29:43 UTC 2026","","test_login","",""
